article_id,url,pub_date,section,subsection,headline,abstract,news_desk,type_of_material,keywords,comments_total,sentiment_mean_textblob
58a3b8dc95d0e02474636823,,2017-02-15 02:11:30,,,Trump Aides Had Contact With Russian Intelligence,,,,"['United States Politics and Government', 'Russia', 'Trump, Donald J', 'Manafort, Paul J', 'Espionage and Intelligence Services', 'Cyberwarfare and Defense', 'Presidential Election of 2016']",3510,0.04408102340704898
58a46c7495d0e02474636a00,,2017-02-15 14:57:49,,,On the Road to Another Watergate?,,,,"['United States Politics and Government', 'Watergate Affair', 'Federal Bureau of Investigation', 'National Security Council', 'Comey, James B', 'Flynn, Michael T', 'Kissinger, Henry A', 'McCain, John', 'Nixon, Richard Milhous', 'Trump, Donald J', 'Russia', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",546,0.05897854869100389
58a4e90a95d0e02474636bea,,2017-02-15 23:49:25,,,What Did Trump Know?,,,,"['Espionage and Intelligence Services', 'Classified Information and State Secrets', 'Watergate Affair', 'Presidential Election of 2016', 'Elections', 'Cyberwarfare and Defense', 'Trump, Donald J', 'Russia']",667,0.058645265995764743
58a4ef5895d0e02474636bff,,2017-02-16 00:16:17,,,"Drip, Drip, Drip",,,,"['Cyberwarfare and Defense', 'Presidential Election of 2016', 'United States Politics and Government', 'United States International Relations', 'Classified Information and State Secrets', 'Espionage and Intelligence Services', 'Flynn, Michael T', 'Trump, Donald J', 'Russia']",850,0.06466022136118253
58a5610d95d0e02474636cf6,,2017-02-16 08:21:24,,,The Democrats’ Immigration Problem,,,,"['Presidential Election of 2016', 'Illegal Immigration', 'Democratic Party', 'Clinton, Hillary Rodham', 'Obama, Barack', 'Trump, Donald J', 'Immigration and Emigration', 'Race and Ethnicity', 'Crime and Criminals', 'Deportation']",263,0.04892787351324548
58a6b28895d0e02474637141,,2017-02-17 08:21:20,,,A Party to the Russian Connection,,,,"['United States Politics and Government', 'Trump, Donald J', 'Presidential Election of 2016', 'United States International Relations', 'Republican Party', 'Flynn, Michael T', 'Putin, Vladimir V', 'Russia']",375,0.06805140618388733
58a6e5c795d0e024746371d9,,2017-02-17 12:00:03,,,Mayor’s Runway to Vogue Voters,,,,"['Fashion and Apparel', 'de Blasio, Bill', 'New York City', 'Labor and Jobs', 'State of the City Message (NYC)', 'Factories and Manufacturing']",7,-0.0013239538239538304
58a771e695d0e024746373fd,,2017-02-17 21:57:52,,,"President’s Approval Ratings Are Down, but How Much Does It Matter?",,,,"['Polls and Public Opinion', 'Trump, Donald J', 'United States Politics and Government', 'Presidential Election of 2016', 'Presidents and Presidency (US)', 'Elections, House of Representatives']",33,0.11123117538935623
58abf88295d0e02474637ad7,,2017-02-21 08:21:14,,,"Move Left, Democrats",,,,"['Third-Party Politics (US)', 'United States Politics and Government', 'Presidential Election of 2016', 'Whites', 'Democratic National Committee', 'Democratic Party', 'Clinton, Hillary Rodham', 'Obama, Barack', 'Perez, Thomas E', 'Trump, Donald J', 'Michigan', 'Pennsylvania', 'Wisconsin']",1005,0.08648079470644544
58ad684895d0e02474637e7b,,2017-02-22 10:30:26,,,How to Retake the House: Start by Going to the Beach,,,,"['United States Politics and Government', 'Elections, House of Representatives', 'Elections, Senate', 'Voting and Voters', 'Whites', 'Presidential Election of 2016', 'Sun Belt States (US)', 'Issa, Darrell E']",129,0.10927141810466097
58ae9b7e95d0e02474638189,,2017-02-23 08:21:13,,,The Death of Compassion,,,,"['United States Politics and Government', 'Presidential Election of 1984', 'Conservatism (US Politics)', 'Race and Ethnicity', 'Welfare (US)', 'Reagan, Ronald Wilson', 'Trump, Donald J']",853,0.06300794120030631
58ae9b8495d0e0247463818d,,2017-02-23 08:21:15,,,"Fight Trump, Not His Voters",,,,"['Presidential Election of 2016', 'Voting and Voters', 'Trump, Donald J', 'Democratic Party', 'Discrimination', 'Yamhill (Ore)', 'Liberalism (US Politics)', 'Republican Party']",1601,0.043953821488176094
58aeb71b95d0e024746381e0,,2017-02-23 10:19:01,,,Democracy in America:  How Are We Doing?,,,,"['United States Politics and Government', 'Democracy (Theory and Philosophy)', 'Polls and Public Opinion', 'Elections, Courts and the Judiciary']",116,0.11867381534287996
58b3e18795d0e02474638c39,,2017-02-27 08:21:19,,,The Immigration Debate We Need,,,,"['Foreign Workers', 'Trump, Donald J', 'Immigration and Emigration', 'Labor and Jobs', 'Refugees and Displaced Persons']",195,0.07619365389480888
58b3f8b695d0e02474638c6e,,2017-02-27 10:00:17,,,Reclusive Provocateur and Icon of Far Right Rises Before Dutch Vote,,,,"['Netherlands', 'Wilders, Geert', 'Immigration and Emigration', 'Elections', 'Politics and Government']",249,0.08111654843093655
58b5514f95d0e024902fc9f6,,2017-02-28 10:30:28,,,Ordering Vindaloo or Hunting for Venison: How You Vote,,,,"['Elections', 'Voting and Voters', 'Social Conditions and Trends', 'Travel and Vacations', 'Presidential Election of 2016', 'Trump, Donald J']",112,0.09736034280696629
58b65a177c459f2525d1f1a6,,2017-03-01 05:20:16,,,"‘Today, He Acted Like a Politician’: Voters’ Reactions to Trump’s Speech",,,,"['United States Politics and Government', 'Trump, Donald J', 'Speeches and Statements']",1095,0.06506516458319835
58daa3f695d0e02489b93d21,,2017-03-01 05:20:16,,,"‘Today, He Acted Like a Politician’: Voters’ Reactions to Trump’s Speech",,,,"['United States Politics and Government', 'Trump, Donald J', 'Speeches and Statements']",1022,0.06356221293079893
58b69bae7c459f2525d1f248,,2017-03-01 10:00:08,,,Evan McMullin Is Very Concerned,,,,"['McMullin, Evan', 'Trump, Donald J', 'Republican Party', 'Democratic Party', 'Presidential Election of 2016']",28,0.12118121869960105
58b69bad95d0e024902fcd8d,,2017-03-01 10:00:08,,,Evan McMullin Is Very Concerned,,,,"['McMullin, Evan', 'Trump, Donald J', 'Republican Party', 'Democratic Party', 'Presidential Election of 2016']",25,0.13438963161021986
58b69bc97c459f2525d1f252,,2017-03-01 10:00:29,,,"In Los Angeles, Mayor Looks Back Before an Election",,,,"['Garcetti, Eric M', 'Elections, Mayors', 'United States Politics and Government', 'Los Angeles (Calif)']",22,0.07057435471024485
58b69bc095d0e024902fcd8f,,2017-03-01 10:00:29,,,"In Los Angeles, Mayor Looks Back Before an Election",,,,"['Garcetti, Eric M', 'Elections, Mayors', 'United States Politics and Government', 'Los Angeles (Calif)']",20,0.05929845684793601
58b76cc97c459f2525d1f500,,2017-03-02 00:52:18,,,Obama Officials Raced to Preserve Russian Trail,,,,"['Russia', 'Obama, Barack', 'Putin, Vladimir V', 'Trump, Donald J', 'Cyberwarfare and Defense', 'United States International Relations', 'Presidential Election of 2016', 'Espionage and Intelligence Services', 'United States Politics and Government']",3113,0.0631780177619331
58b76cc795d0e024902fd043,,2017-03-02 00:52:18,,,Obama Officials Raced to Preserve Russian Trail,,,,"['Russia', 'Obama, Barack', 'Putin, Vladimir V', 'Trump, Donald J', 'Cyberwarfare and Defense', 'United States International Relations', 'Presidential Election of 2016', 'Espionage and Intelligence Services', 'United States Politics and Government']",2763,0.06351772324924121
58b7d4687c459f2525d1f5c7,,2017-03-02 08:14:27,,,Sessions Recuses Himself  From Russia Investigation,,,,"['United States Politics and Government', 'Justice Department', 'Sessions, Jefferson B III', 'Russia', 'Flynn, Michael T', 'Conflicts of Interest', 'Kislyak, Sergei I', 'Trump, Donald J', 'United States International Relations', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",2532,0.054583292550664006
58b7d46895d0e024902fd10b,,2017-03-02 08:14:27,,,Sessions Recuses Himself  From Russia Investigation,,,,"['United States Politics and Government', 'Justice Department', 'Sessions, Jefferson B III', 'Russia', 'Flynn, Michael T', 'Conflicts of Interest', 'Kislyak, Sergei I', 'Trump, Donald J', 'United States International Relations', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",2309,0.05455762843039687
58b7e3ff7c459f2525d1f5f8,,2017-03-02 09:20:59,,,"Democracy, Disrupted",,,,"['United States Politics and Government', 'Computers and the Internet', 'Presidential Election of 2016', 'Social Media', 'Social Conditions and Trends']",559,0.06547404485415825
58b7e40295d0e024902fd13c,,2017-03-02 09:20:59,,,"Democracy, Disrupted",,,,"['United States Politics and Government', 'Computers and the Internet', 'Presidential Election of 2016', 'Social Media', 'Social Conditions and Trends']",510,0.06378043020262779
58b846ea7c459f2525d1f753,,2017-03-02 16:23:01,,,Jeff Sessions Needs to Go,,,,"['Sessions, Jefferson B III', 'United States Politics and Government', 'Presidential Election of 2016', 'Russia', 'Trump, Donald J', 'Espionage and Intelligence Services', 'Senate']",932,0.05944665729013306
58b846e995d0e024902fd298,,2017-03-02 16:23:01,,,Jeff Sessions Needs to Go,,,,"['Sessions, Jefferson B III', 'United States Politics and Government', 'Presidential Election of 2016', 'Russia', 'Trump, Donald J', 'Espionage and Intelligence Services', 'Senate']",863,0.05672698834502939
58b8bd667c459f2525d1f8d4,,2017-03-03 00:48:32,,,Fighting Fairly for the Homeless,,,,"['Homeless Persons', 'Elections, Mayors', 'Income Inequality', 'Independent Budget Office', 'de Blasio, Bill', 'New York City']",68,0.07452209429570726
58b8bd6595d0e024902fd41c,,2017-03-03 00:48:32,,,Fighting Fairly for the Homeless,,,,"['Homeless Persons', 'Elections, Mayors', 'Income Inequality', 'Independent Budget Office', 'de Blasio, Bill', 'New York City']",59,0.05565384893953846
58b8cb927c459f2525d1f8f7,,2017-03-03 01:49:01,,,Jeff Sessions Had No Choice,,,,"['Sessions, Jefferson B III', 'Presidential Election of 2016', 'Republican Party', 'Justice Department', 'Russia', 'United States Politics and Government', 'Trump, Donald J']",753,0.051534270284326056
58b8cb9295d0e024902fd43f,,2017-03-03 01:49:01,,,Jeff Sessions Had No Choice,,,,"['Sessions, Jefferson B III', 'Presidential Election of 2016', 'Republican Party', 'Justice Department', 'Russia', 'United States Politics and Government', 'Trump, Donald J']",695,0.05240627819744859
58ba0d887c459f2525d1fc40,,2017-03-04 00:42:40,,,The Feud That Sank Saigon,,,,"['Vietnam War', 'Elections', 'Ho Chi Minh City (Vietnam)', 'Vietnam']",47,0.09188630452718376
58ba0d8895d0e024902fd790,,2017-03-04 00:42:40,,,The Feud That Sank Saigon,,,,"['Vietnam War', 'Elections', 'Ho Chi Minh City (Vietnam)', 'Vietnam']",43,0.07848965400701037
58ba1fdb7c459f2525d1fc66,,2017-03-04 02:00:55,,,What to Do With Jeff Sessions,,,,"['Sessions, Jefferson B III', 'Trump, Donald J', 'United States Politics and Government', 'Justice Department', 'Kislyak, Sergei I', 'Russia', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",744,0.06556777152769586
58ba1fdb95d0e024902fd7b6,,2017-03-04 02:00:55,,,What to Do With Jeff Sessions,,,,"['Sessions, Jefferson B III', 'Trump, Donald J', 'United States Politics and Government', 'Justice Department', 'Kislyak, Sergei I', 'Russia', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",680,0.06583808894003021
59f4dc4e7c459f246b63155e,,2017-03-04 02:03:19,,,"Washington, With Moscow on Its Mind",,,,"['United States Politics and Government', 'Trump, Donald J', 'Russia', 'Putin, Vladimir V', 'Lavrov, Sergey V', 'Kislyak, Sergei I', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",1083,0.06170464860142036
58ba206995d0e024902fd7b8,,2017-03-04 02:03:19,,,"Washington, With Moscow on Its Mind",,,,"['United States Politics and Government', 'Trump, Donald J', 'Russia', 'Putin, Vladimir V', 'Lavrov, Sergey V', 'Kislyak, Sergei I', 'Presidential Election of 2016', 'Cyberwarfare and Defense']",989,0.06336201883070584
58badf2e7c459f2525d1fd2b,,2017-03-04 15:37:14,,,"With No Proof, Trump Claims Obama Tapped",,,,"['Wiretapping and Other Eavesdropping Devices and Methods', 'Obama, Barack', 'Trump, Donald J', 'Presidential Election of 2016', 'United States Politics and Government']",3603,0.019368445239497215
